"age";"Ca";"Ti"
13011;3.85827690550587;2.45965204331645
13011;3.79970312108196;2.31149255106242
13011;4.18857314266668;2.1992901330162
13011;4.20356404562789;2.17512015901343
13011;4.02693800480953;1.97167937489387
13011;4.09532517438985;2.13519765524319
13011;3.76767335344878;2.06616837244754
13011;3.99376083281154;2.13289282146548
13011;4.08431347631165;2.38618316106655
13011;4.28899813393403;2.03127638478018
13011;4.30613941513299;2.17340047933508
13011;4.03521910695923;2.20142253894908
13011;4.45182728096741;2.14428633565473
13011;4.6191081321141;2.15318239964777
13011;4.41134912599726;1.87318029073804
13011;4.84916851849343;2.12722067193363
13011;4.93607509954676;1.95667106120273
13011;5.12727919470019;1.95147603584983
13011;4.95507065216043;1.82997662576441
13011;5.20470351377578;1.93146170072759
13011;5.07238153261024;1.97587542642276
13011;5.11874467733357;2.1843678629467
13011;5.00737968823466;2.00403004289745
13011;4.86654952601943;2.13784607034179
13011;4.88738127692842;2.01585727590186
13011;4.67296046148784;1.94253465668594
13011;4.39768317518387;1.94671839680706
13011;4.17039951709134;2.37178403284347
13011;4.47344423744165;2.0858718924055
13011;4.21819816031476;1.96307520048235
13011;3.98348006984281;1.9877484664558
13011;3.87008700037523;2.06073225606537
13011;3.97217006557265;2.1428130719535
13011;3.81074786729362;2.37063170656364
13011;3.54084375044245;1.9466610515566
13011;3.59800056163804;2.35254076845113
13011;4.01376719306504;2.65281311259706
13011;3.48468897070455;2.22297463446786
13011;3.46582309974453;2.63793661006888
13011;3.38946072099137;2.53894244536039
13011;3.51139591839979;2.07628615142129
13011;3.59339572150723;2.24039197894119
13011;3.76221702954272;2.81260098789483
13011;3.71110471588724;2.24592479858854
13011;4.16064240150741;2.07139938853083
13011;4.54422669887466;2.09124626191819
13011;4.51148892632496;1.99244117441089
13011;4.45453095805471;2.19644924275474
13011;4.26408408908589;2.27550095335385
13011;4.40650257426482;2.10136124266001
13011;4.3337597414879;2.55915238020022
13011;4.10847644916752;2.13061625899534
13011;4.10005301515887;2.13559784669154
13011;3.89140542318293;2.21331565747376
13011;3.80972779898331;2.17193051791055
13011;3.91974209391903;3.13307039915017
13011;3.63494893904138;2.5755072394695
13011;3.91560406267852;2.22373822975251
13011;3.7215122671666;2.62156358481887
13011;3.77938822979371;2.58238387991196
13011;3.7346781762089;2.27935327952793
13011;3.36587572469631;2.7942036803248
13011;3.65016082148453;2.31027482624025
13011;3.56106243935559;2.1750520158849
13011;3.74273190523946;2.25658310071853
13011;3.5627901473023;2.66094727758667
13011;3.4611400392281;2.36484524870035
13011;3.46701024621376;2.3372915887682
13011;3.56748750173937;2.98202234434535
13011;3.01881727913218;2.42008064821233
13011;3.41456957331744;2.73825658676397
13011;3.41840797789484;2.14144302389204
13011;3.09301510813066;2.49478527518698
13011;3.59370183957435;2.52114067169293
13011;2.84965157360811;2.26356624698661
13011;3.06621041559575;2.18866364374393
13011;3.13878344274923;2.49950450742021
13011;3.2360669226055;2.55839695011956
13011;3.19684222940709;2.36184324155253
13011;3.21153134199389;2.70412177701052
13011;2.85992959243779;2.30731908709077
13011;3.18817873368386;2.82571353342934
13011;3.01371453031437;2.50619838113272
13011;2.97751026499784;2.57096632500574
13011;3.22971003748212;2.55183032905296
13011;3.31230591409275;2.6430167239867
13011;3.45569919834206;2.52019602435229
13011;3.78246432534535;2.28960215525153
13011;3.58556852719587;2.30701244625158
13011;3.84103601605841;2.48357114451737
13011;4.1311222333038;2.26432456759444
13011;4.37809560965847;2.24307165787526
13011;4.30193273034532;2.08553090801406
13011;4.22190603871457;2.13676542838779
13011;4.28440972840138;2.14003502230287
13011;4.39644655628196;2.05993869803905
13011;4.46112840241114;1.97786109725257
13011;4.26890817821422;2.20889386788253
13011;3.53627683427718;2.33331033881814
13011;3.56152660582028;2.34974277225969
13011;3.54655388208338;2.480305348642
13011;3.50023873164718;2.90698195572365
13011;3.97247603647668;2.17582776738619
13011;4.30980833729344;2.13305819770598
13011;4.55210543219313;2.04411926469663
13011;4.64682188894928;2.0022079096594
13011;4.78757750676284;2.11790652382174
13011;4.77788277366494;1.94694577039426
13011;5.05723363996205;2.1727369413327
13011;4.80935504673271;1.87241698100256
13011;5.03108632646188;2.19188465597011
13011;4.86930080216822;2.00850851013111
13011;4.85679326061449;1.96896811273407
